"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 29 18:40:51 UTC 2025","Sun Jun 29 18:41:54 UTC 2025","62696","CloudIosParallelSuite","iPhone 14","org.example.tests.BtcAITests.IOS.OnboardingTest","org.example.tests.BtcAITests.IOS.OnboardingTest","onboardingRetry","Onboarding and Assertion",""
"passed","Sun Jun 29 19:12:43 UTC 2025","Sun Jun 29 19:13:26 UTC 2025","42464","CloudIosParallelSuite","iPhone 15","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testVoiceChatEmpty","Voice Chat Empty",""
"passed","Sun Jun 29 19:01:05 UTC 2025","Sun Jun 29 19:02:22 UTC 2025","77206","CloudIosParallelSuite","iPhone 15","org.example.tests.BtcAITests.IOS.OnboardingTest","org.example.tests.BtcAITests.IOS.OnboardingTest","onboardingRetry","Onboarding and Assertion",""
"passed","Sun Jun 29 19:06:23 UTC 2025","Sun Jun 29 19:07:13 UTC 2025","50293","CloudIosParallelSuite","iPhone XR","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testTextChatFlow","Text Chat Flow",""
"passed","Sun Jun 29 19:10:48 UTC 2025","Sun Jun 29 19:11:32 UTC 2025","43825","CloudIosParallelSuite","iPhone XR","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testVoiceChatEmpty","Voice Chat Empty",""
"broken","Sun Jun 29 19:07:51 UTC 2025","Sun Jun 29 19:08:31 UTC 2025","39945","CloudIosParallelSuite","iPhone XR","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testParaYatirmaFlow","Para Yatırma Akışı",""
"skipped","Sun Jun 29 18:49:10 UTC 2025","Sun Jun 29 18:49:10 UTC 2025","4","CloudIosParallelSuite","iPhone 14","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","voiceChatVolumeClose","Voice Chat Volume Close",""
"broken","Sun Jun 29 19:09:12 UTC 2025","Sun Jun 29 19:10:08 UTC 2025","55466","CloudIosParallelSuite","iPhone XR","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testParaCekmeYeniHesapFlow","Para Çekme Yeni Hesap",""
"broken","Sun Jun 29 19:10:21 UTC 2025","Sun Jun 29 19:11:51 UTC 2025","89829","CloudIosParallelSuite","iPhone 15","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testParaCekmeYeniHesapFlow","Para Çekme Yeni Hesap",""
"passed","Sun Jun 29 18:41:56 UTC 2025","Sun Jun 29 18:43:28 UTC 2025","91388","CloudIosParallelSuite","iPhone 14","org.example.tests.BtcAITests.IOS.OnboardingTest","org.example.tests.BtcAITests.IOS.OnboardingTest","onboarding","Onboarding Skip",""
"passed","Sun Jun 29 19:12:03 UTC 2025","Sun Jun 29 19:13:06 UTC 2025","63168","CloudIosParallelSuite","iPhone XR","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","voiceChatVolumeClose","Voice Chat Volume Close",""
"passed","Sun Jun 29 18:44:24 UTC 2025","Sun Jun 29 18:44:49 UTC 2025","24830","CloudIosParallelSuite","iPhone 14","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testVoiceChatVolumeClosed","Voice Chat Volume Closed",""
"passed","Sun Jun 29 19:01:19 UTC 2025","Sun Jun 29 19:02:32 UTC 2025","72739","CloudIosParallelSuite","iPhone XR","org.example.tests.BtcAITests.IOS.OnboardingTest","org.example.tests.BtcAITests.IOS.OnboardingTest","onboardingRetry","Onboarding and Assertion",""
